"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"49","Dustin Tokarski","ANA","1","7.7833333333333","3","3","0","1.000","0.00","0.23","0.17","1","1","0","1.000","0.00","0.17","1","1","0","1.000","0.00","0.08","1","1","0","1.000","0.00","0.03","0","0","25.00","-"
"61","Jack Campbell","L.A","1","16","4","4","0","1.000","0.00","0.31","0.19","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","4","4","0","1.000","0.00","0.11","1","0","44.00","-"
"80","Marek Langhamer","ARI","1","8.3166666666667","2","2","0","1.000","0.00","0.15","0.13","1","1","0","1.000","0.00","0.17","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.03","0","0","35.50","-"
"87","Mike Condon","PIT","1","15.85","6","6","0","1.000","0.00","0.46","0.28","2","2","0","1.000","0.00","0.34","0","0","0","-","0.00","0.00","3","3","0","1.000","0.00","0.08","0","0","34.00","-"
"90","Kristers Gudlevskis","T.B","1","11.45","3","3","0","1.000","0.00","0.23","0.28","0","0","0","-","0.00","0.00","2","2","0","1.000","0.00","0.16","1","1","0","1.000","0.00","0.03","0","0","27.00","-"
"96","Alex Nedeljkovic","CAR","1","20.483333333333","16","16","0","1.000","0.00","1.23","0.99","2","2","0","1.000","0.00","0.34","4","4","0","1.000","0.00","0.33","9","9","0","1.000","0.00","0.25","0","0","40.00","-"
"99","David Rittich","CGY","1","18.65","6","6","0","1.000","0.00","0.46","0.33","1","1","0","1.000","0.00","0.17","2","2","0","1.000","0.00","0.16","3","3","0","1.000","0.00","0.08","0","0","40.33","-"
"75","Jon Gillies","CGY","1","50.583333333333","25","24","1","0.960","1.19","0.92","2.77","7","7","0","1.000","0.00","1.17","6","5","1","0.833","1.19","-0.51","12","12","0","1.000","0.00","0.34","0","6","32.12","31.00"
"78","Anthony Stolarz","PHI","7","291.93333333333","141","134","7","0.950","1.44","3.81","10.39","35","29","6","0.829","1.23","-0.13","35","34","1","0.971","0.21","1.84","68","68","0","1.000","0.00","1.92","2","13","34.60","12.86"
"83","Aaron Dell","S.J","20","951.31666666667","449","426","23","0.949","1.45","11.42","34.37","112","97","15","0.866","0.95","3.79","101","97","4","0.960","0.25","4.21","217","213","4","0.982","0.25","2.14","19","43","36.90","21.09"
"89","Antoine Bibeau","TOR","2","83.65","39","37","2","0.949","1.43","0.99","2.78","8","7","1","0.875","0.72","0.34","12","11","1","0.917","0.72","-0.02","18","18","0","1.000","0.00","0.51","4","1","39.28","22.00"
"98","Charlie Lindgren","MTL","2","111.41666666667","53","50","3","0.943","1.62","1.06","3.85","14","13","1","0.929","0.54","1.35","14","14","0","1.000","0.00","1.14","22","20","2","0.909","1.08","-1.38","3","2","33.51","18.67"
"2","Craig Anderson","OTT","40","1934.1666666667","990","931","59","0.940","1.83","16.89","69.31","232","199","33","0.858","1.02","5.92","226","210","16","0.929","0.50","2.37","503","493","10","0.980","0.31","4.23","44","89","36.65","20.73"
"62","Philipp Grubauer","WSH","24","986.16666666667","432","406","26","0.940","1.58","7.11","31.09","118","100","18","0.847","1.10","1.80","98","91","7","0.929","0.43","0.97","195","194","1","0.995","0.06","4.52","22","42","35.92","18.92"
"59","Sergei Bobrovsky","CBJ","63","3000.05","1452","1363","89","0.939","1.78","22.30","112.9","407","355","52","0.872","1.04","16.28","318","302","16","0.950","0.32","9.85","680","660","20","0.971","0.40","-0.76","51","141","34.30","22.56"
"21","Justin Peters","ARI","3","118.16666666667","64","60","4","0.938","2.03","0.91","5.2","13","11","2","0.846","1.02","0.18","19","17","2","0.895","1.02","-0.46","29","29","0","1.000","0.00","0.82","2","9","35.00","23.50"
"43","Scott Darling","CHI","32","1415.95","719","674","45","0.937","1.91","10.11","55.22","201","176","25","0.876","1.06","8.72","171","160","11","0.936","0.47","2.90","331","322","9","0.973","0.38","0.37","38","77","33.09","26.56"
"10","Curtis McElhinney","CBJ","7","292.88333333333","157","147","10","0.936","2.05","2.03","11.89","39","37","2","0.949","0.41","4.54","34","31","3","0.912","0.61","-0.24","77","72","5","0.935","1.02","-2.82","6","14","35.82","36.30"
"25","Carey Price","MTL","62","2990.1833333333","1404","1314","90","0.936","1.81","17.62","98.08","343","300","43","0.875","0.86","14.54","334","305","29","0.913","0.58","-1.85","669","651","18","0.973","0.36","0.93","74","118","36.56","24.10"
"48","Braden Holtby","WSH","63","2918.6","1354","1268","86","0.936","1.77","17.79","105.54","351","294","57","0.838","1.17","1.88","327","306","21","0.936","0.43","5.58","613","605","8","0.987","0.16","9.34","76","136","36.03","19.08"
"71","John Gibson","ANA","52","2312.5333333333","1089","1018","71","0.935","1.84","12.48","81.27","281","236","45","0.840","1.17","2.14","279","268","11","0.961","0.29","11.68","483","469","14","0.971","0.36","-0.33","48","95","33.80","22.18"
