"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"65","Alex Stalock","S.J","1","22.266666666667","4","4","0","1.000","0.00","0.31","0.49","0","0","0","-","0.00","0.00","2","2","0","1.000","0.00","0.15","2","2","0","1.000","0.00","0.06","0","1","32.75","-"
"75","Richard Bachman","DAL","1","6.0833333333333","1","1","0","1.000","0.00","0.08","0.09","1","1","0","1.000","0.00","0.18","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","16.00","-"
"82","Jacob Markstrom","FLA","1","34.266666666667","7","7","0","1.000","0.00","0.55","0.43","2","2","0","1.000","0.00","0.35","0","0","0","-","0.00","0.00","5","5","0","1.000","0.00","0.14","0","0","43.29","-"
"76","Cedrick Desjardins","T.B","2","91.1","44","43","1","0.977","0.66","2.46","2.7","14","14","0","1.000","0.00","2.45","11","10","1","0.909","0.66","-0.19","16","16","0","1.000","0.00","0.45","5","4","39.02","31.00"
"28","Michael Leighton","PHI","1","43.716666666667","26","25","1","0.962","1.37","1.05","1.71","5","5","0","1.000","0.00","0.88","8","8","0","1.000","0.00","0.59","13","12","1","0.923","1.37","-0.63","0","3","37.08","15.00"
"39","Martin Gerber","EDM","3","140.3","74","71","3","0.959","1.28","2.82","5.82","28","25","3","0.893","1.28","1.91","17","17","0","1.000","0.00","1.26","27","27","0","1.000","0.00","0.76","1","7","30.03","10.67"
"58","Anton Khudobin","MIN","4","150.51666666667","63","60","3","0.952","1.20","1.96","3.73","9","8","1","0.889","0.40","0.58","18","17","1","0.944","0.40","0.33","35","34","1","0.971","0.40","-0.01","2","4","37.00","35.33"
"7","Tim Thomas","BOS","57","2663.8666666667","1416","1345","71","0.950","1.60","40.40","101.81","359","316","43","0.880","0.97","19.94","398","378","20","0.950","0.45","9.47","611","603","8","0.987","0.18","9.21","69","115","36.16","20.83"
"37","Ray Emery","ANA","10","418.83333333333","205","193","12","0.941","1.72","4.13","15.42","49","42","7","0.857","1.00","1.59","59","56","3","0.949","0.43","1.37","89","87","2","0.978","0.29","0.51","13","16","35.35","24.25"
"73","Semyon Varlamov","WSH","27","1185.35","570","534","36","0.937","1.82","8.84","44.52","142","120","22","0.845","1.11","2.90","151","143","8","0.947","0.40","3.18","264","258","6","0.977","0.30","1.44","26","50","35.34","22.75"
