"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"81","Chris Driedger","OTT","1","24.583333333333","7","7","0","1.000","0.00","0.52","0.58","2","2","0","1.000","0.00","0.33","2","2","0","1.000","0.00","0.15","3","3","0","1.000","0.00","0.08","1","0","25.14","-"
"88","Kristers Gudlevskis","T.B","1","45.666666666667","22","22","0","1.000","0.00","1.65","1.46","5","5","0","1.000","0.00","0.83","4","4","0","1.000","0.00","0.31","13","13","0","1.000","0.00","0.35","0","0","38.59","-"
"91","Roman Will","COL","1","10.733333333333","2","2","0","1.000","0.00","0.15","0.18","1","1","0","1.000","0.00","0.17","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.03","1","0","32.00","-"
"65","Scott Wedgewood","N.J","4","189.01666666667","86","84","2","0.977","0.63","4.45","6.26","19","18","1","0.947","0.32","2.15","22","22","0","1.000","0.00","1.69","42","41","1","0.976","0.32","0.14","7","7","34.35","39.00"
"34","James Reimer","S.J","8","382.93333333333","165","157","8","0.952","1.25","4.37","9.78","26","22","4","0.846","0.63","0.31","42","40","2","0.952","0.31","1.23","92","90","2","0.978","0.31","0.49","6","3","37.39","27.63"
"33","Reto Berra","COL","14","567.08333333333","292","276","16","0.945","1.69","5.89","21.43","62","57","5","0.919","0.53","5.27","79","72","7","0.911","0.74","-0.93","133","129","4","0.970","0.42","-0.40","16","33","35.41","23.88"
"85","Andrew Hammond","OTT","24","1104.4","555","522","33","0.941","1.79","8.61","41.35","133","116","17","0.872","0.92","5.04","154","144","10","0.935","0.54","1.84","252","246","6","0.976","0.33","0.83","18","54","35.02","21.09"
"24","Carey Price","MTL","12","547.48333333333","279","262","17","0.939","1.86","3.92","19.33","55","48","7","0.873","0.77","2.11","79","73","6","0.924","0.66","0.07","127","123","4","0.969","0.44","-0.56","18","26","38.32","24.53"
"83","Connor Hellebuyck","WPG","26","1124.7666666667","524","492","32","0.939","1.71","7.29","40.09","136","116","20","0.853","1.07","2.54","143","134","9","0.937","0.48","1.99","231","228","3","0.987","0.16","3.26","34","45","34.32","17.03"
"7","Mike Smith","ARI","32","1358.35","705","661","44","0.938","1.94","8.86","52.18","163","139","24","0.853","1.06","3.01","193","178","15","0.922","0.66","-0.17","332","328","4","0.988","0.18","5.00","28","54","33.89","21.52"
"15","Brian Elliott","STL","42","1747.2333333333","808","758","50","0.938","1.72","10.58","63.23","237","209","28","0.882","0.96","11.27","211","198","13","0.938","0.45","3.22","336","327","9","0.973","0.31","0.11","53","63","32.29","20.14"
"35","James Reimer","TOR","32","1404.2","722","677","45","0.938","1.92","9.13","48.69","158","140","18","0.886","0.77","8.18","212","197","15","0.929","0.64","1.29","333","321","12","0.964","0.51","-2.98","40","47","37.08","27.20"
"36","Jhonas Enroth","L.A","16","688.53333333333","321","301","20","0.938","1.74","4.07","24.16","87","76","11","0.874","0.96","3.42","76","70","6","0.921","0.52","-0.16","147","144","3","0.980","0.26","0.98","15","30","36.80","22.30"
"89","Juuse Saros","NSH","1","45.783333333333","16","15","1","0.938","1.31","0.20","0.75","2","1","1","0.500","1.31","-0.67","8","8","0","1.000","0.00","0.61","4","4","0","1.000","0.00","0.11","0","2","43.94","9.00"
"5","Henrik Lundqvist","NYR","65","3020.8333333333","1532","1435","97","0.937","1.93","17.86","126.05","426","359","67","0.843","1.33","3.59","366","347","19","0.948","0.38","9.13","676","665","11","0.984","0.22","7.32","69","139","33.13","18.67"
"1","Roberto Luongo","FLA","62","2811.0666666667","1377","1287","90","0.935","1.92","13.24","99.49","354","301","53","0.850","1.13","5.66","348","325","23","0.934","0.49","3.75","632","618","14","0.978","0.30","3.13","61","119","36.15","22.72"
"32","Steve Mason","PHI","54","2445.8333333333","1268","1186","82","0.935","2.01","13.07","92.48","315","263","52","0.835","1.28","0.20","324","304","20","0.938","0.49","4.90","572","562","10","0.983","0.25","5.50","56","136","36.12","19.88"
"80","Matt Murray","PIT","13","576.36666666667","260","243","17","0.935","1.77","2.49","17.85","71","62","9","0.873","0.94","2.77","61","58","3","0.951","0.31","1.69","110","105","5","0.955","0.52","-2.02","7","18","35.42","24.88"
"82","Joonas Korpisalo","CBJ","31","1447.4666666667","772","721","51","0.934","2.11","6.88","62.37","211","180","31","0.853","1.29","3.96","166","155","11","0.934","0.46","1.76","370","362","8","0.978","0.33","2.03","27","82","36.03","20.55"
"11","Marc-Andre Fleury","PIT","58","2748.4","1293","1206","87","0.933","1.90","9.94","92.9","334","287","47","0.859","1.03","8.35","348","322","26","0.925","0.57","0.75","572","558","14","0.976","0.31","1.50","57","115","34.89","22.75"
"12","Corey Crawford","CHI","58","2672.4166666667","1332","1243","89","0.933","2.00","10.86","103.59","385","335","50","0.870","1.12","13.80","291","266","25","0.914","0.56","-2.63","618","604","14","0.977","0.31","2.75","44","138","33.19","20.61"
"18","Devan Dubnyk","MIN","67","3100.6333333333","1431","1335","96","0.933","1.86","11.29","99.13","358","305","53","0.852","1.03","6.32","317","295","22","0.931","0.43","2.36","699","679","20","0.971","0.39","-1.06","64","127","37.13","24.70"
"20","Thomas Greiss","NYI","41","1826","931","869","62","0.933","2.04","7.80","72.01","281","246","35","0.875","1.15","11.56","266","254","12","0.955","0.39","8.44","342","329","13","0.962","0.43","-3.73","38","70","33.84","27.58"
"67","Louis Domingue","ARI","39","1699.5833333333","891","830","61","0.932","2.15","5.80","64.94","208","172","36","0.827","1.27","-1.53","250","238","12","0.952","0.42","7.21","396","385","11","0.972","0.39","-0.27","33","94","36.56","23.28"
"48","Braden Holtby","WSH","66","3062.5833333333","1400","1303","97","0.931","1.90","7.96","104.74","379","316","63","0.834","1.23","-0.20","335","312","23","0.931","0.45","2.75","631","620","11","0.983","0.22","6.10","54","118","36.31","24.66"
"68","Petr Mrazek","DET","54","2314.2333333333","1111","1034","77","0.931","2.00","6.29","80.56","288","245","43","0.851","1.11","4.72","265","245","20","0.925","0.52","0.37","513","499","14","0.973","0.36","-0.10","27","87","35.63","21.21"
