"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"69","Adam Wilcox","BUF","1","34.95","10","10","0","1.000","0.00","0.77","0.69","0","0","0","-","0.00","0.00","4","4","0","1.000","0.00","0.33","4","4","0","1.000","0.00","0.11","0","0","49.10","-"
"81","Marek Langhamer","ARI","1","21.466666666667","7","7","0","1.000","0.00","0.54","0.39","2","2","0","1.000","0.00","0.34","1","1","0","1.000","0.00","0.08","4","4","0","1.000","0.00","0.11","0","1","36.29","-"
"91","Thatcher Demko","VAN","1","54.1","25","25","0","1.000","0.00","1.94","1.73","6","6","0","1.000","0.00","1.02","9","9","0","1.000","0.00","0.73","10","10","0","1.000","0.00","0.29","0","1","34.48","-"
"95","Scott Foster","CHI","1","11","5","5","0","1.000","0.00","0.39","0.31","0","0","0","-","0.00","0.00","3","3","0","1.000","0.00","0.24","2","2","0","1.000","0.00","0.06","0","0","28.20","-"
"100","Dylan Ferguson","VGK","1","5","1","1","0","1.000","0.00","0.08","0.16","1","1","0","1.000","0.00","0.17","0","0","0","-","0.00","0.00","0","0","0","-","0.00","0.00","0","0","10.00","-"
"74","Oscar Dansk","VGK","4","124.51666666667","70","67","3","0.957","1.45","2.42","4.9","19","18","1","0.947","0.48","2.23","21","21","0","1.000","0.00","1.71","27","25","2","0.926","0.96","-1.23","1","6","31.69","32.67"
"94","Ken Appleby","N.J","3","98.833333333333","44","42","2","0.955","1.21","1.41","4.08","17","16","1","0.941","0.61","1.89","8","8","0","1.000","0.00","0.65","17","16","1","0.941","0.61","-0.51","2","7","37.09","37.50"
"33","Reto Berra","ANA","5","137.55","63","60","3","0.952","1.31","1.88","4.82","15","13","2","0.867","0.87","0.55","16","15","1","0.938","0.44","0.31","28","28","0","1.000","0.00","0.80","4","6","36.02","16.00"
"9","Curtis McElhinney","TOR","18","797.3","406","386","20","0.951","1.51","11.45","29.14","98","91","7","0.929","0.53","9.65","107","100","7","0.935","0.53","1.73","184","178","6","0.967","0.45","-0.74","11","21","37.00","25.70"
"40","Antti Niemi","MTL","19","809.65","431","408","23","0.947","1.70","10.39","33.75","105","92","13","0.876","0.96","4.83","105","98","7","0.933","0.52","1.57","197","194","3","0.985","0.22","2.64","20","47","37.17","20.48"
"52","Darcy Kuemper","L.A","19","809.45","398","377","21","0.947","1.56","9.83","30.15","102","90","12","0.882","0.89","5.32","107","102","5","0.953","0.37","3.73","165","161","4","0.976","0.30","0.72","11","42","35.86","21.76"
"82","Linus Ullmark","BUF","5","208.01666666667","112","106","6","0.946","1.73","2.68","7.8","27","22","5","0.815","1.44","-0.41","16","16","0","1.000","0.00","1.31","65","64","1","0.985","0.29","0.86","4","6","38.79","18.33"
"3","Ryan Miller","ANA","28","1066.4","532","501","31","0.942","1.74","10.21","40.99","131","114","17","0.870","0.96","5.25","141","131","10","0.929","0.56","1.51","230","226","4","0.983","0.23","2.58","19","43","37.04","24.00"
"16","Al Montoya","EDM","9","380.88333333333","199","187","12","0.940","1.89","3.41","15.15","46","40","6","0.870","0.95","1.81","68","64","4","0.941","0.63","1.55","77","75","2","0.974","0.32","0.20","8","21","36.74","26.83"
"53","Carter Hutton","STL","32","1319.5166666667","620","583","37","0.940","1.68","11.02","46.02","165","138","27","0.836","1.23","1.03","167","161","6","0.964","0.27","7.63","250","246","4","0.984","0.18","3.15","26","61","36.08","22.78"
"61","Philipp Grubauer","WSH","35","1511.9","739","693","46","0.938","1.83","11.24","61.12","226","196","30","0.867","1.19","8.39","178","166","12","0.933","0.48","2.53","299","295","4","0.987","0.16","4.56","33","74","34.93","18.76"
"24","Pekka Rinne","NSH","59","2685.9","1369","1283","86","0.937","1.92","20.04","94.77","343","297","46","0.866","1.03","12.26","361","341","20","0.945","0.45","9.47","583","566","17","0.971","0.38","-0.32","68","104","37.07","26.28"
"87","Antti Raanta","ARI","47","2078.45","1079","1011","68","0.937","1.96","15.58","82.73","255","214","41","0.839","1.18","2.31","260","249","11","0.958","0.32","10.23","519","505","14","0.973","0.40","0.85","45","125","37.70","27.53"
"57","Sergei Bobrovsky","CBJ","65","3200.7333333333","1615","1512","103","0.936","1.93","22.10","127.55","469","405","64","0.864","1.20","15.66","393","371","22","0.944","0.41","10.08","663","647","16","0.976","0.30","2.97","66","160","36.35","23.14"
"1","Roberto Luongo","FLA","35","1596.7666666667","905","845","60","0.934","2.25","10.10","64.89","224","192","32","0.857","1.20","6.05","220","203","17","0.923","0.64","0.96","399","388","11","0.972","0.41","0.42","37","81","38.43","20.83"
