"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"76","Cal Petersen","L.A","11","512.9","271","258","13","0.952","1.52","8.99","18","63","56","7","0.889","0.82","3.91","58","54","4","0.931","0.47","1.25","128","126","2","0.984","0.23","1.60","11","26","40.93","24.23"
"91","Kevin Boyle","ANA","5","228.26666666667","113","107","6","0.947","1.58","3.17","7.7","25","22","3","0.880","0.79","1.33","31","29","2","0.935","0.53","0.80","50","49","1","0.980","0.26","0.40","6","17","40.54","25.83"
"88","Landon Bow","DAL","2","49.383333333333","18","17","1","0.944","1.21","0.46","1.07","3","3","0","1.000","0.00","0.52","6","5","1","0.833","1.21","-0.46","9","9","0","1.000","0.00","0.25","0","2","34.89","25.00"
"61","Jordan Binnington","STL","32","1552.9166666667","659","620","39","0.941","1.51","14.48","49.36","172","149","23","0.866","0.89","6.78","193","183","10","0.948","0.39","7.46","264","258","6","0.977","0.23","1.42","34","73","35.77","19.85"
"59","Laurent Brossoit","WPG","21","934.05","499","469","30","0.940","1.93","10.50","39.82","122","108","14","0.885","0.90","7.12","139","127","12","0.914","0.77","0.57","209","205","4","0.981","0.26","1.87","19","63","37.18","23.03"
"18","Thomas Greiss","NYI","43","1831.95","927","870","57","0.939","1.87","18.23","68.62","258","224","34","0.868","1.11","10.67","235","225","10","0.957","0.33","11.26","390","377","13","0.967","0.43","-2.04","51","97","37.00","24.00"
"24","Ben Bishop","DAL","46","2161.3166666667","1078","1011","67","0.938","1.86","20.48","78.63","286","251","35","0.878","0.97","14.51","255","237","18","0.929","0.50","5.07","468","455","13","0.972","0.36","0.15","66","107","37.18","23.91"
"14","Jaroslav Halak","BOS","40","1836.9166666667","888","831","57","0.936","1.86","15.07","67.4","235","209","26","0.889","0.85","14.68","249","231","18","0.928","0.59","4.52","355","342","13","0.963","0.42","-3.03","61","109","36.97","23.70"
"44","Robin Lehner","NYI","46","2164","1062","993","69","0.935","1.91","17.19","80.89","292","247","45","0.846","1.25","5.55","276","262","14","0.949","0.39","10.97","453","443","10","0.978","0.28","2.73","39","105","35.25","20.61"
"53","Jack Campbell","L.A","31","1291.5666666667","693","647","46","0.934","2.14","10.24","49.88","154","127","27","0.825","1.25","-0.34","185","172","13","0.930","0.60","3.74","315","309","6","0.981","0.28","2.85","42","70","38.23","19.09"
"67","Matt Murray","PIT","50","2325.0833333333","1266","1182","84","0.934","2.17","18.74","93.3","315","266","49","0.844","1.26","5.53","319","295","24","0.925","0.62","4.86","554","545","9","0.984","0.23","6.56","88","135","38.08","29.00"
"19","Anton Khudobin","DAL","41","1816.1333333333","960","895","65","0.932","2.15","12.91","67.37","231","196","35","0.848","1.16","4.99","239","220","19","0.921","0.63","2.62","428","418","10","0.977","0.33","2.02","45","95","37.72","23.29"
"56","Petr Mrazek","CAR","40","1918.95","869","809","60","0.931","1.88","10.52","67.33","226","195","31","0.863","0.97","8.13","223","206","17","0.924","0.53","3.17","353","341","12","0.966","0.38","-2.08","48","92","38.18","23.53"
"100","Pavel Francouz","COL","2","47.733333333333","29","27","2","0.931","2.51","0.35","2.39","9","8","1","0.889","1.26","0.56","7","7","0","1.000","0.00","0.63","10","9","1","0.900","1.26","-0.72","1","7","43.72","28.50"
"20","Pekka Rinne","NSH","56","2571.9333333333","1260","1172","88","0.930","2.05","14.25","93.36","359","314","45","0.875","1.05","17.15","325","297","28","0.914","0.65","1.40","506","491","15","0.970","0.35","-0.79","75","116","35.77","21.80"
"75","Antti Raanta","ARI","12","537.76666666667","273","254","19","0.930","2.12","3.16","23.03","94","81","13","0.862","1.45","3.27","53","48","5","0.906","0.56","-0.21","112","111","1","0.991","0.11","2.15","16","41","34.63","19.32"
"57","Frederik Andersen","TOR","60","2889.7333333333","1599","1486","113","0.929","2.35","16.77","122.35","378","309","69","0.817","1.43","-3.56","437","404","33","0.924","0.69","6.53","703","692","11","0.984","0.23","8.75","87","152","37.56","20.73"
"62","John Gibson","ANA","58","2594.7833333333","1387","1288","99","0.929","2.29","13.56","116.79","420","358","62","0.852","1.43","10.71","366","336","30","0.918","0.69","3.11","537","531","6","0.989","0.14","9.09","83","175","33.85","21.68"
"66","Andrei Vasilevskiy","T.B","53","2517.2166666667","1315","1222","93","0.929","2.22","13.72","92.26","329","268","61","0.815","1.45","-4.04","412","390","22","0.947","0.52","15.27","522","512","10","0.981","0.24","4.66","80","153","36.98","22.74"
"89","Casey DeSmith","PIT","36","1595.45","845","785","60","0.929","2.26","8.58","63.16","212","179","33","0.844","1.24","3.70","212","194","18","0.915","0.68","1.18","376","367","9","0.976","0.34","1.56","47","113","36.94","24.35"
"94","David Rittich","CGY","45","1985.1","960","892","68","0.929","2.06","9.91","73.06","239","203","36","0.849","1.09","5.38","260","247","13","0.950","0.39","10.52","416","398","18","0.957","0.54","-6.31","46","102","37.20","27.35"
"54","Philipp Grubauer","COL","37","1572.4833333333","819","760","59","0.928","2.25","7.47","58.33","212","178","34","0.840","1.30","2.70","186","174","12","0.935","0.46","4.83","372","360","12","0.968","0.46","-1.55","45","96","37.94","21.49"
"22","Tuukka Rask","BOS","46","2156.7","956","886","70","0.927","1.95","7.58","68.28","251","209","42","0.833","1.17","1.45","244","228","16","0.934","0.45","6.07","411","399","12","0.971","0.33","-0.45","46","90","37.64","23.54"
"69","Anthony Stolarz","EDM","6","188.21666666667","123","114","9","0.927","2.87","0.98","8.75","26","24","2","0.923","0.64","2.50","40","35","5","0.875","1.59","-1.38","51","50","1","0.980","0.32","0.43","5","11","36.42","40.44"
"84","Mackenzie Blackwood","N.J","23","1011.7166666667","547","507","40","0.927","2.37","4.39","39.36","131","105","26","0.802","1.54","-3.32","131","121","10","0.924","0.59","1.85","256","252","4","0.984","0.24","3.19","28","52","37.84","18.88"
"3","Ryan Miller","ANA","20","888.23333333333","448","415","33","0.926","2.23","3.36","35.77","127","108","19","0.850","1.28","2.99","129","120","9","0.930","0.61","2.67","175","170","5","0.971","0.34","-0.08","23","54","34.86","27.73"
"46","Darcy Kuemper","ARI","55","2609.1666666667","1330","1232","98","0.926","2.25","9.94","96.3","339","283","56","0.835","1.29","2.69","301","275","26","0.914","0.60","1.23","616","600","16","0.974","0.37","1.30","62","166","37.92","22.23"
"13","Jimmy Howard","DET","55","2468.1833333333","1366","1263","103","0.925","2.50","7.86","108.17","372","312","60","0.839","1.46","4.40","371","347","24","0.935","0.58","9.56","550","531","19","0.965","0.46","-3.55","64","152","35.65","21.72"
