"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"57","Matt Zaba","NYR","1","26.55","9","9","0","1.000","0.00","0.73","0.56","3","3","0","1.000","0.00","0.52","3","3","0","1.000","0.00","0.24","2","2","0","1.000","0.00","0.06","1","1","37.89","-"
"85","Alexander Pechurskiy","PIT","1","22.383333333333","10","10","0","1.000","0.00","0.81","0.66","1","1","0","1.000","0.00","0.17","3","3","0","1.000","0.00","0.24","6","6","0","1.000","0.00","0.18","0","1","41.50","-"
"65","Anton Khudobin","MIN","2","46.916666666667","31","30","1","0.968","1.28","1.50","2.11","11","10","1","0.909","1.28","0.92","6","6","0","1.000","0.00","0.47","12","12","0","1.000","0.00","0.35","2","3","40.00","13.00"
"76","Jonathan Bernier","L.A","3","142.71666666667","71","68","3","0.958","1.26","2.74","5.42","18","16","2","0.889","0.84","1.14","17","17","0","1.000","0.00","1.35","32","31","1","0.969","0.42","-0.06","7","3","35.68","19.33"
"56","Mike Brodeur","OTT","3","136.01666666667","64","61","3","0.953","1.32","2.17","4.05","17","15","2","0.882","0.88","0.96","14","13","1","0.929","0.44","0.11","30","30","0","1.000","0.00","0.88","3","1","34.34","19.67"
"60","Yann Danis","N.J","12","377.41666666667","166","156","10","0.940","1.59","3.41","13.54","47","40","7","0.851","1.11","1.19","41","38","3","0.927","0.48","0.24","70","70","0","1.000","0.00","2.05","13","19","38.69","25.50"
"62","Cory Schneider","VAN","2","69.183333333333","49","46","3","0.939","2.60","0.96","4.06","19","18","1","0.947","0.87","2.31","11","10","1","0.909","0.87","-0.13","16","16","0","1.000","0.00","0.47","6","6","36.06","38.00"
"11","Tomas Vokoun","FLA","63","2851.7","1599","1496","103","0.936","2.17","26.18","116.64","419","358","61","0.854","1.28","12.00","452","426","26","0.942","0.55","9.77","691","675","16","0.977","0.34","4.23","77","131","34.72","24.06"
"41","Peter Budaj","COL","15","567.13333333333","313","293","20","0.936","2.12","5.29","24.4","82","67","15","0.817","1.59","-0.71","87","83","4","0.954","0.42","2.88","131","130","1","0.992","0.11","2.84","12","36","34.23","16.55"
"68","Tuukka Rask","BOS","45","2000.8","926","867","59","0.936","1.77","15.81","63.64","224","189","35","0.844","1.05","4.03","255","243","12","0.953","0.36","8.18","411","400","11","0.973","0.33","1.03","49","59","36.93","27.37"
"58","Jaroslav Halak","MTL","45","2053.1166666667","1059","990","69","0.935","2.02","16.56","81.16","289","245","44","0.848","1.29","6.35","236","224","12","0.949","0.35","6.68","506","493","13","0.974","0.38","1.82","41","99","34.55","20.49"
"17","Vesa Toskala","CGY","6","154.68333333333","76","71","5","0.934","1.94","1.14","4.85","19","17","2","0.895","0.78","1.31","19","18","1","0.947","0.39","0.50","35","33","2","0.943","0.78","-0.98","1","5","33.43","21.20"
"48","Curtis McElhinney","ANA","10","387.56666666667","213","199","14","0.934","2.17","3.21","13.45","46","41","5","0.891","0.77","3.01","51","46","5","0.902","0.77","-0.96","114","110","4","0.965","0.62","-0.66","7","13","32.14","21.71"
"77","Semyon Varlamov","WSH","26","1179","549","512","37","0.933","1.88","7.35","41.24","134","119","15","0.888","0.76","8.35","167","154","13","0.922","0.66","0.22","230","221","9","0.961","0.46","-2.27","20","52","35.56","28.49"
"42","Ray Emery","PHI","29","1238.4","577","538","39","0.932","1.89","7.62","44.84","161","135","26","0.839","1.26","2.05","138","129","9","0.935","0.44","1.92","256","252","4","0.984","0.19","3.50","22","59","34.36","17.77"
"79","Jonas Hiller","ANA","59","2541.3666666667","1389","1295","94","0.932","2.22","18.22","106.62","408","358","50","0.877","1.18","21.09","318","293","25","0.921","0.59","0.17","624","605","19","0.970","0.45","-0.73","64","114","33.38","23.55"
"10","Evgeni Nabokov","S.J","71","3137.9333333333","1583","1473","110","0.931","2.10","17.89","115.62","388","315","73","0.812","1.40","-5.40","432","408","24","0.944","0.46","10.19","710","697","13","0.982","0.25","7.79","80","128","35.38","20.54"
"54","Corey Crawford","CHI","1","47.216666666667","29","27","2","0.931","2.54","0.34","1.89","8","7","1","0.875","1.27","0.39","4","3","1","0.750","1.27","-0.68","16","16","0","1.000","0.00","0.47","1","2","33.48","27.00"
"38","Henrik Lundqvist","NYR","73","3184.85","1598","1486","112","0.930","2.11","17.10","142.09","523","452","71","0.864","1.34","20.13","477","450","27","0.943","0.51","10.75","560","549","11","0.980","0.21","5.40","55","137","30.61","22.00"
"45","Joey MacDonald","TOR","6","239.11666666667","115","107","8","0.930","2.01","1.29","7.44","28","23","5","0.821","1.25","-0.12","22","19","3","0.864","0.75","-1.26","61","61","0","1.000","0.00","1.79","5","8","35.63","16.88"
"6","Jose Theodore","WSH","47","1932.55","982","912","70","0.929","2.17","9.33","75.76","295","255","40","0.864","1.24","11.40","278","257","21","0.924","0.65","1.00","385","376","9","0.977","0.28","2.27","34","86","34.33","27.40"
"19","Miikka Kiprusoff","CGY","73","3275.2166666667","1522","1413","109","0.928","2.00","13.96","107.67","399","331","68","0.830","1.25","1.52","353","330","23","0.935","0.42","4.94","718","702","16","0.978","0.29","5.02","58","125","36.22","24.12"
"32","Ryan Miller","BUF","69","3117.3833333333","1596","1481","115","0.928","2.21","13.94","115.54","450","384","66","0.853","1.27","12.41","389","367","22","0.943","0.42","8.78","710","683","27","0.962","0.52","-6.21","92","109","36.05","23.84"
"24","Roberto Luongo","VAN","68","2896.5","1419","1315","104","0.927","2.15","10.64","103.22","378","315","63","0.833","1.31","2.86","383","359","24","0.937","0.50","6.31","611","596","15","0.975","0.31","2.89","64","101","35.08","22.59"
"36","Ilya Bryzgalov","PHX","69","3057.0833333333","1433","1328","105","0.927","2.06","10.77","105.31","342","280","62","0.819","1.22","-2.41","399","372","27","0.932","0.53","4.58","650","634","16","0.975","0.31","3.03","70","95","35.88","21.93"
"66","Pekka Rinne","NSH","58","2550.2333333333","1192","1105","87","0.927","2.05","9.30","87.36","313","259","54","0.827","1.27","0.54","308","286","22","0.929","0.52","2.37","535","524","11","0.979","0.26","4.67","62","85","34.37","21.78"
"7","Marty Turco","DAL","53","2374.45","1191","1103","88","0.926","2.22","8.22","81.16","284","235","49","0.827","1.24","0.48","290","270","20","0.931","0.51","2.95","586","567","19","0.968","0.48","-1.84","76","91","36.27","23.01"
"26","Jason LaBarbera","PHX","17","654.38333333333","324","300","24","0.926","2.20","2.18","21.88","78","63","15","0.808","1.38","-1.41","79","73","6","0.924","0.55","0.25","153","150","3","0.980","0.28","1.48","9","23","37.34","22.71"
"51","Cam Ward","CAR","47","1993.5166666667","1025","949","76","0.926","2.29","6.81","87.16","315","264","51","0.838","1.53","3.88","279","264","15","0.946","0.45","7.08","407","397","10","0.975","0.30","1.92","45","100","32.54","22.72"
"78","Michal Neuvirth","WSH","17","686.76666666667","353","327","26","0.926","2.27","2.52","27.42","83","68","15","0.819","1.31","-0.54","113","105","8","0.929","0.70","0.94","149","146","3","0.980","0.26","1.36","22","34","35.25","25.54"
"1","Martin Brodeur","N.J","77","3550.4666666667","1596","1476","120","0.925","2.03","8.94","110.74","378","316","62","0.836","1.05","3.86","446","413","33","0.926","0.56","2.29","726","701","25","0.966","0.42","-3.74","53","113","35.80","26.46"
"47","Kari Lehtonen","DAL","12","469.43333333333","267","247","20","0.925","2.56","1.57","19.82","68","54","14","0.794","1.79","-2.15","86","81","5","0.942","0.64","1.81","107","106","1","0.991","0.13","2.13","18","21","34.33","18.20"
"55","Jimmy Howard","DET","63","2892.3333333333","1415","1309","106","0.925","2.20","8.32","97.75","363","302","61","0.832","1.27","2.25","370","345","25","0.932","0.52","4.28","641","621","20","0.969","0.41","-1.23","54","93","35.64","24.94"
"31","Craig Anderson","COL","71","3233.9166666667","1663","1537","126","0.924","2.34","8.35","119.26","424","345","79","0.814","1.47","-5.12","395","362","33","0.916","0.61","-1.74","795","781","14","0.982","0.26","9.28","64","173","35.34","20.51"
"63","Justin Peters","CAR","9","366.68333333333","184","170","14","0.924","2.29","0.87","15.99","53","47","6","0.887","0.98","3.23","44","37","7","0.841","1.15","-3.52","86","85","1","0.988","0.16","1.52","9","23","32.58","18.86"
"3","Nikolai Khabibulin","EDM","18","813.25","462","426","36","0.922","2.66","1.32","32.28","116","99","17","0.853","1.25","3.21","104","93","11","0.894","0.81","-2.77","231","223","8","0.965","0.59","-1.24","23","42","37.44","24.14"
"9","Johan Hedberg","ATL","47","1946.0333333333","982","905","77","0.922","2.37","2.33","74.46","293","244","49","0.833","1.51","2.05","281","262","19","0.932","0.59","3.24","386","378","8","0.979","0.25","3.30","51","91","34.20","22.55"
"14","Jean-Sebastien Giguere","TOR","15","671.15","346","319","27","0.922","2.41","0.95","25.72","85","71","14","0.835","1.25","0.81","100","93","7","0.930","0.63","0.91","154","148","6","0.961","0.54","-1.49","9","24","35.11","24.30"
"67","Carey Price","MTL","41","1802.2166666667","928","856","72","0.922","2.40","2.97","63.62","210","169","41","0.805","1.36","-4.41","236","219","17","0.928","0.57","1.68","452","438","14","0.969","0.47","-0.76","39","68","37.75","23.82"
