"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"99","Magnus Hellberg","NSH","1","9.7333333333333","3","3","0","1.000","0.00","0.24","0.11","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.08","1","1","0","1.000","0.00","0.03","0","0","48.00","-"
"107","Andrew Hammond","OTT","1","21.733333333333","9","9","0","1.000","0.00","0.71","0.33","1","1","0","1.000","0.00","0.17","2","2","0","1.000","0.00","0.17","6","6","0","1.000","0.00","0.16","0","1","41.89","-"
"66","John Curry","MIN","2","58.75","36","35","1","0.972","1.02","1.82","2.72","8","7","1","0.875","1.02","0.39","8","8","0","1.000","0.00","0.67","20","20","0","1.000","0.00","0.53","0","6","39.92","10.00"
"61","Michal Neuvirth","BUF","2","85.5","64","62","2","0.969","1.40","3.02","5.53","18","18","0","1.000","0.00","3.12","20","19","1","0.950","0.70","0.68","25","24","1","0.960","0.70","-0.33","3","11","32.16","20.00"
"109","Kristers Gudlevskis","T.B","1","47.766666666667","24","23","1","0.958","1.26","0.88","1.39","5","5","0","1.000","0.00","0.87","10","9","1","0.900","1.26","-0.16","9","9","0","1.000","0.00","0.24","2","0","34.50","28.00"
"70","Michael Hutchinson","WPG","3","143.16666666667","67","64","3","0.955","1.26","2.26","5.38","22","19","3","0.864","1.26","0.81","12","12","0","1.000","0.00","1.01","29","29","0","1.000","0.00","0.77","5","6","36.01","12.00"
"77","Martin Jones","L.A","19","862.38333333333","375","355","20","0.947","1.39","9.42","28.2","106","95","11","0.896","0.77","7.37","83","79","4","0.952","0.28","2.96","171","166","5","0.971","0.35","-0.43","23","33","34.38","20.80"
"28","Josh Harding","MIN","29","1321.6666666667","530","499","31","0.942","1.41","10.58","34.58","106","88","18","0.830","0.82","0.37","101","93","8","0.921","0.36","0.47","305","300","5","0.984","0.23","3.15","21","43","39.82","21.23"
"46","Tuukka Rask","BOS","58","2750.8666666667","1284","1210","74","0.942","1.61","26.74","82.46","281","245","36","0.872","0.79","12.70","307","283","24","0.922","0.52","1.74","621","608","13","0.979","0.28","3.59","76","95","38.60","25.35"
"86","Cam Talbot","NYR","21","961.55","433","408","25","0.942","1.56","8.97","32.94","103","90","13","0.874","0.81","4.85","112","103","9","0.920","0.56","0.39","201","198","3","0.985","0.19","2.37","21","31","36.17","24.20"
