"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"90","Chris Driedger","OTT","1","15.933333333333","8","8","0","1.000","0.00","0.62","0.47","2","2","0","1.000","0.00","0.34","3","3","0","1.000","0.00","0.25","2","2","0","1.000","0.00","0.05","1","0","33.38","-"
"92","Mackenzie Skapski","NYR","2","95.883333333333","34","33","1","0.971","0.63","1.63","2.34","10","9","1","0.900","0.63","0.70","8","8","0","1.000","0.00","0.66","16","16","0","1.000","0.00","0.43","0","1","33.56","11.00"
"55","Tom McCollum","DET","2","57.816666666667","24","23","1","0.958","1.04","0.85","2.12","9","8","1","0.889","1.04","0.53","6","6","0","1.000","0.00","0.49","9","9","0","1.000","0.00","0.24","1","1","32.63","9.00"
"83","Laurent Brossoit","EDM","1","50.6","47","45","2","0.957","2.37","1.63","4.76","22","20","2","0.909","2.37","1.75","10","10","0","1.000","0.00","0.82","14","14","0","1.000","0.00","0.37","2","10","30.70","11.50"
"76","Calvin Pickard","COL","16","691.36666666667","400","380","20","0.950","1.74","10.89","29","98","87","11","0.888","0.95","5.70","96","90","6","0.938","0.52","1.91","194","191","3","0.985","0.26","2.17","20","40","37.21","25.55"
"52","Scott Darling","CHI","14","663.85","327","310","17","0.948","1.54","8.25","25.05","97","86","11","0.887","0.99","5.53","84","81","3","0.964","0.27","3.92","139","136","3","0.978","0.27","0.71","14","25","32.26","21.24"
"91","Marek Mazanec","NSH","2","87.5","37","35","2","0.946","1.37","0.86","2.64","7","5","2","0.714","1.37","-0.81","11","11","0","1.000","0.00","0.91","17","17","0","1.000","0.00","0.45","2","2","38.16","14.50"
"40","Steve Mason","PHI","51","2291.8333333333","1172","1106","66","0.944","1.73","24.51","84.66","286","238","48","0.832","1.26","0.75","240","230","10","0.958","0.26","9.76","591","583","8","0.986","0.21","7.75","63","114","37.44","20.03"
"78","Philipp Grubauer","WSH","1","54.483333333333","18","17","1","0.944","1.10","0.39","1.43","4","4","0","1.000","0.00","0.68","3","3","0","1.000","0.00","0.25","10","9","1","0.900","1.10","-0.73","0","2","38.56","13.00"
"32","Carey Price","MTL","66","3168","1536","1448","88","0.943","1.67","30.63","112.97","383","333","50","0.869","0.95","15.28","364","339","25","0.931","0.47","4.98","720","708","12","0.983","0.23","7.19","78","130","35.97","22.66"
"96","Antti Raanta","CHI","14","656.51666666667","310","292","18","0.942","1.65","5.94","22.19","93","85","8","0.914","0.73","7.85","62","55","7","0.887","0.64","-1.89","144","141","3","0.979","0.27","0.84","11","18","33.76","23.50"
"94","Andrew Hammond","OTT","24","1107.4333333333","556","523","33","0.941","1.79","9.94","40.12","136","120","16","0.882","0.87","7.18","120","112","8","0.933","0.43","1.88","281","272","9","0.968","0.49","-1.51","22","50","35.35","23.82"
