"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"46","Yann Danis","EDM","1","20.383333333333","4","4","0","1.000","0.00","0.31","0.11","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.08","3","3","0","1.000","0.00","0.08","0","0","39.00","-"
"59","Brian Foster","FLA","1","4.8666666666667","1","1","0","1.000","0.00","0.08","0.05","0","0","0","-","0.00","0.00","1","1","0","1.000","0.00","0.08","0","0","0","-","0.00","0.00","0","0","18.00","-"
"76","Mike Murphy","CAR","2","30.483333333333","8","8","0","1.000","0.00","0.63","0.7","3","3","0","1.000","0.00","0.52","1","1","0","1.000","0.00","0.08","4","4","0","1.000","0.00","0.11","0","1","31.00","-"
"78","Peter Mannino","WPG","1","15.05","4","4","0","1.000","0.00","0.31","0.22","1","1","0","1.000","0.00","0.17","1","1","0","1.000","0.00","0.08","2","2","0","1.000","0.00","0.06","0","0","38.50","-"
"52","Anton Khudobin","BOS","1","46.25","32","31","1","0.969","1.30","1.51","1.65","7","7","0","1.000","0.00","1.22","5","4","1","0.800","1.30","-0.61","17","17","0","1.000","0.00","0.47","1","1","39.34","28.00"
"38","Curtis McElhinney","PHX","2","61.55","28","27","1","0.964","0.97","1.19","1.72","6","5","1","0.833","0.97","0.04","9","9","0","1.000","0.00","0.70","9","9","0","1.000","0.00","0.25","2","1","36.57","12.00"
"81","Robin Lehner","OTT","5","244.7","131","125","6","0.954","1.47","4.26","10.8","41","35","6","0.854","1.47","1.13","28","28","0","1.000","0.00","2.17","58","58","0","1.000","0.00","1.61","5","22","34.47","14.00"
"50","Justin Peters","CAR","7","315.9","181","171","10","0.945","1.90","4.17","13.96","48","43","5","0.896","0.95","3.34","41","39","2","0.951","0.38","1.17","85","82","3","0.965","0.57","-0.64","5","17","34.76","28.20"
"45","Brian Elliott","STL","38","1716.2166666667","753","709","44","0.942","1.54","14.95","55.25","199","171","28","0.859","0.98","6.59","207","199","8","0.961","0.28","8.02","319","311","8","0.975","0.28","0.86","35","60","34.43","22.09"
"34","Mike Smith","PHX","67","3101.7833333333","1644","1540","104","0.937","2.01","24.70","122.99","471","404","67","0.858","1.30","14.87","400","372","28","0.930","0.54","2.95","705","696","9","0.987","0.17","10.58","75","140","34.87","19.55"
