"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"12","Corey Crawford","CHI","39","1867.6666666667","975","890","85","0.913","2.73","-3.70","77.63","296","252","44","0.851","1.41","7.99","237","209","28","0.882","0.90","-6.11","401","388","13","0.968","0.42","-1.21","53","101","33.69","22.47"
"41","Mikko Koskinen","EDM","55","2546.9","1299","1186","113","0.913","2.66","-4.68","98.89","356","284","72","0.798","1.70","-9.47","320","294","26","0.919","0.61","3.55","549","534","15","0.973","0.35","1.14","80","152","37.02","22.43"
"55","Louis Domingue","T.B","26","1296.35","656","599","57","0.913","2.64","-2.30","46.52","159","126","33","0.792","1.53","-5.07","196","178","18","0.908","0.83","0.10","272","266","6","0.978","0.28","2.00","38","70","37.44","23.96"
"83","Alex Nedeljkovic","CAR","1","46.916666666667","23","21","2","0.913","2.56","-0.08","1.12","2","0","2","0.000","2.56","-1.65","7","7","0","1.000","0.00","0.65","13","13","0","1.000","0.00","0.38","0","2","43.87","14.00"
"10","Cam Ward","CHI","33","1602.4666666667","933","851","82","0.912","3.07","-4.20","76.82","313","264","49","0.843","1.83","5.97","245","222","23","0.906","0.86","-0.37","349","339","10","0.971","0.37","0.26","58","100","31.59","19.80"
"36","Jake Allen","STL","46","2119.45","1060","967","93","0.912","2.63","-4.61","77.59","274","220","54","0.803","1.53","-5.88","324","299","25","0.923","0.71","4.92","414","400","14","0.966","0.40","-1.83","58","109","34.99","22.09"
"47","Carter Hutton","BUF","50","2374.0166666667","1304","1189","115","0.912","2.91","-6.26","91.12","334","269","65","0.805","1.64","-6.34","337","296","41","0.878","1.04","-9.88","563","554","9","0.984","0.23","7.55","55","89","38.15","21.10"
"65","Malcolm Subban","VGK","21","1047.4166666667","524","478","46","0.912","2.64","-2.31","35.77","124","104","20","0.839","1.15","1.78","152","134","18","0.882","1.03","-3.96","215","209","6","0.972","0.34","0.32","36","52","37.07","31.04"
"72","Linus Ullmark","BUF","37","1800.15","992","905","87","0.912","2.90","-4.28","70.33","255","214","41","0.839","1.37","3.79","245","215","30","0.878","1.00","-7.37","444","428","16","0.964","0.53","-2.95","37","85","36.42","22.15"
"81","Pheonix Copley","WSH","27","1284.75","648","591","57","0.912","2.66","-2.97","50.5","185","154","31","0.832","1.45","1.49","154","135","19","0.877","0.89","-4.78","272","265","7","0.974","0.33","1.00","41","74","35.02","21.46"
"48","Cam Talbot","EDM","31","1423.6833333333","749","682","67","0.911","2.82","-4.54","57.91","196","162","34","0.827","1.43","0.42","185","167","18","0.903","0.76","-0.92","322","307","15","0.953","0.63","-5.53","42","98","37.35","24.60"
"25","Alex Stalock","MIN","21","869.11666666667","421","383","38","0.910","2.62","-2.89","31.71","102","78","24","0.765","1.66","-6.09","95","86","9","0.905","0.62","-0.23","202","197","5","0.975","0.35","0.94","22","43","38.90","21.29"
"38","Michael Hutchinson","TOR","5","256.78333333333","134","122","12","0.910","2.80","-0.83","8.72","25","20","5","0.800","1.17","-0.61","39","33","6","0.846","1.40","-2.40","64","63","1","0.984","0.23","0.88","6","11","38.21","26.42"
"28","James Reimer","FLA","36","1495.0333333333","780","709","71","0.909","2.85","-5.96","58.48","200","156","44","0.780","1.77","-8.87","197","178","19","0.904","0.76","-0.81","339","332","7","0.979","0.28","2.97","40","86","37.08","21.56"
"6","Mike Smith","CGY","42","1987.8666666667","883","802","81","0.908","2.44","-7.37","68.85","261","214","47","0.820","1.42","-1.16","229","206","23","0.900","0.69","-1.85","321","310","11","0.966","0.33","-1.56","65","95","37.03","21.98"
"1","Roberto Luongo","FLA","43","1975.4333333333","1053","954","99","0.906","3.01","-11.19","80.88","280","222","58","0.793","1.76","-8.82","254","227","27","0.894","0.82","-3.54","447","434","13","0.971","0.39","0.14","60","115","37.53","21.37"
"2","Craig Anderson","OTT","50","2338.0833333333","1399","1267","132","0.906","3.39","-15.34","103.06","368","299","69","0.813","1.77","-4.37","333","291","42","0.874","1.08","-11.25","655","635","20","0.969","0.51","-0.74","69","185","36.30","23.12"
"60","Garret Sparks","TOR","20","965.31666666667","531","481","50","0.906","3.11","-5.72","39.26","132","110","22","0.833","1.37","1.18","148","132","16","0.892","0.99","-2.33","222","210","12","0.946","0.75","-5.47","23","43","36.66","26.66"
"68","Joonas Korpisalo","CBJ","27","1184","575","521","54","0.906","2.74","-6.05","43.75","154","120","34","0.779","1.72","-6.95","139","126","13","0.906","0.66","-0.16","247","241","6","0.976","0.30","1.26","34","72","37.34","19.33"
"17","Cory Schneider","N.J","26","1125.15","612","554","58","0.905","3.09","-6.97","43.82","145","116","29","0.800","1.55","-3.53","163","146","17","0.896","0.91","-1.95","283","272","11","0.961","0.59","-2.68","36","52","35.52","24.47"
"70","Anthony Stolarz","PHI","12","525.53333333333","304","275","29","0.905","3.31","-3.65","22.11","89","77","12","0.865","1.37","3.63","84","71","13","0.845","1.48","-5.24","118","114","4","0.966","0.46","-0.53","20","40","34.40","24.07"
"77","Marcus Hogberg","OTT","4","177.95","105","95","10","0.905","3.37","-1.24","8.21","29","26","3","0.897","1.01","2.09","20","15","5","0.750","1.69","-3.15","51","49","2","0.961","0.67","-0.50","7","12","37.30","24.70"
"29","Jonathan Bernier","DET","35","1590.0833333333","874","790","84","0.904","3.17","-11.12","65.69","239","198","41","0.828","1.55","0.98","227","207","20","0.912","0.75","0.96","364","341","23","0.937","0.87","-12.30","40","87","36.43","27.23"
"34","Antti Niemi","MTL","17","823.66666666667","443","400","43","0.903","3.13","-6.06","29.93","108","84","24","0.778","1.75","-5.03","99","86","13","0.869","0.95","-3.86","211","205","6","0.972","0.44","0.20","26","34","39.08","22.84"
"49","Cam Talbot","PHI","4","176.55","90","81","9","0.900","3.06","-1.50","8.27","23","16","7","0.696","2.38","-2.96","19","18","1","0.947","0.34","0.75","42","41","1","0.976","0.34","0.23","3","15","37.09","19.67"
"86","Adin Hill","ARI","13","565.63333333333","270","243","27","0.900","2.86","-4.49","21.72","73","56","17","0.767","1.80","-4.18","69","63","6","0.913","0.64","0.37","113","110","3","0.973","0.32","0.32","8","44","36.99","25.81"
"97","Kaden Fulcher","DET","1","24.316666666667","10","9","1","0.900","2.47","-0.17","0.74","2","2","0","1.000","0.00","0.35","2","1","1","0.500","2.47","-0.82","6","6","0","1.000","0.00","0.18","0","0","31.70","19.00"
"23","Jonathan Quick","L.A","46","2266.3333333333","1125","1011","114","0.899","3.02","-20.19","89.46","300","235","65","0.783","1.72","-12.31","287","255","32","0.889","0.85","-5.50","477","461","16","0.966","0.42","-1.98","39","158","36.58","23.86"
"51","Calvin Pickard","ARI","6","239.8","129","116","13","0.899","3.25","-2.24","11.4","44","34","10","0.773","2.50","-2.27","28","26","2","0.929","0.50","0.59","53","52","1","0.981","0.25","0.56","3","24","32.69","17.77"
"73","Aaron Dell","S.J","25","1094.7166666667","503","452","51","0.899","2.80","-9.06","39.58","139","110","29","0.791","1.59","-4.59","145","128","17","0.883","0.93","-3.61","196","191","5","0.974","0.27","0.76","28","51","34.61","19.65"
"85","Sam Montembeault","FLA","11","508.7","244","219","25","0.898","2.95","-4.65","20.95","81","64","17","0.790","2.01","-2.77","44","38","6","0.864","0.71","-1.94","111","109","2","0.982","0.24","1.26","13","41","37.49","21.84"
"58","Keith Kinkaid","N.J","41","1880.55","998","895","103","0.897","3.29","-19.78","76.36","232","180","52","0.776","1.66","-11.25","300","274","26","0.913","0.83","1.70","416","392","24","0.942","0.77","-11.77","46","98","37.09","25.44"
"40","Martin Jones","S.J","62","3030.4166666667","1396","1250","146","0.895","2.89","-29.59","114.14","420","335","85","0.798","1.68","-11.23","357","321","36","0.899","0.71","-3.03","544","519","25","0.954","0.49","-9.01","73","170","35.45","23.79"
"52","Calvin Pickard","PHI","11","380.25","181","161","20","0.890","3.16","-4.91","13.75","51","39","12","0.765","1.89","-3.04","32","27","5","0.844","0.79","-2.04","91","88","3","0.967","0.47","-0.32","15","15","35.96","21.15"
"90","Charlie Lindgren","MTL","1","62.9","45","40","5","0.889","4.77","-1.25","3.87","15","13","2","0.867","1.91","0.63","12","10","2","0.833","1.91","-0.89","18","17","1","0.944","0.95","-0.47","5","6","29.27","22.60"
"96","Hunter Miska","ARI","1","15.566666666667","9","8","1","0.889","3.85","-0.25","0.32","1","1","0","1.000","0.00","0.18","1","1","0","1.000","0.00","0.09","5","4","1","0.800","3.85","-0.85","0","1","55.00","53.00"
"27","Chad Johnson","STL","10","407.53333333333","203","180","23","0.887","3.39","-6.07","15.54","55","42","13","0.764","1.91","-3.34","63","53","10","0.841","1.47","-4.18","77","77","0","1.000","0.00","2.26","9","20","34.26","20.43"
"79","Tristan Jarry","PIT","2","112.26666666667","62","55","7","0.887","3.74","-1.83","2.58","7","5","2","0.714","1.07","-0.77","19","16","3","0.842","1.60","-1.25","32","30","2","0.938","1.07","-1.06","2","3","42.48","36.29"
"7","Mike McKenna","OTT","10","387.75","234","207","27","0.885","4.18","-7.49","14.87","55","42","13","0.764","2.01","-3.34","51","43","8","0.843","1.24","-3.29","114","108","6","0.947","0.93","-2.65","6","22","40.23","25.33"
"33","Scott Darling","CAR","8","409.91666666667","204","180","24","0.882","3.51","-6.99","17.93","66","52","14","0.788","2.05","-2.41","52","44","8","0.846","1.17","-3.20","79","77","2","0.975","0.29","0.32","19","27","34.46","20.21"
"37","Michael Hutchinson","FLA","4","160.66666666667","67","59","8","0.881","2.99","-2.41","5.34","20","16","4","0.800","1.49","-0.49","16","13","3","0.813","1.12","-1.52","30","29","1","0.967","0.37","-0.12","4","10","34.34","23.50"
"45","Edward Pasquale","T.B","3","163.56666666667","92","80","12","0.870","4.40","-4.33","8.03","24","20","4","0.833","1.47","0.22","27","19","8","0.704","2.93","-5.51","35","35","0","1.000","0.00","1.03","5","12","37.92","20.50"
"26","Chad Johnson","ANA","9","267.4","121","105","16","0.868","3.59","-5.91","10.47","41","30","11","0.732","2.47","-3.80","30","27","3","0.900","0.67","-0.23","46","44","2","0.957","0.45","-0.65","5","15","35.70","23.69"
"31","Michal Neuvirth","PHI","7","313.5","148","128","20","0.865","3.83","-7.66","9.86","34","25","9","0.735","1.72","-3.03","40","30","10","0.750","1.91","-6.31","64","63","1","0.984","0.19","0.88","9","15","38.59","23.95"
"8","Mike McKenna","PHI","1","42.233333333333","20","17","3","0.850","4.26","-1.33","1.7","7","5","2","0.714","2.84","-0.77","4","3","1","0.750","1.42","-0.63","7","7","0","1.000","0.00","0.21","3","0","32.65","14.33"
"64","Maxime Lagace","VGK","1","50.366666666667","26","22","4","0.846","4.77","-1.83","2.15","3","2","1","0.667","1.19","-0.47","8","6","2","0.750","2.38","-1.26","15","14","1","0.933","1.19","-0.56","0","4","31.04","20.25"
"32","Richard Bachman","VAN","1","46.7","25","21","4","0.840","5.14","-1.92","1.26","2","1","1","0.500","1.28","-0.65","8","7","1","0.875","1.28","-0.26","15","13","2","0.867","2.57","-1.56","1","2","38.56","28.00"
"5","Peter Budaj","L.A","3","60.05","23","19","4","0.826","4.00","-2.08","1.47","9","8","1","0.889","1.00","0.58","3","2","1","0.667","1.00","-0.72","9","7","2","0.778","2.00","-1.74","1","2","41.00","34.50"
"74","Mike Condon","OTT","2","65.783333333333","34","28","6","0.824","5.47","-3.16","2.32","12","7","5","0.583","4.56","-2.89","11","10","1","0.909","0.91","0.02","11","11","0","1.000","0.00","0.32","1","3","31.24","16.00"
"80","Eric Comrie","WPG","1","51.883333333333","27","22","5","0.815","5.78","-2.75","1.75","5","4","1","0.800","1.16","-0.12","7","5","2","0.714","2.31","-1.35","13","11","2","0.846","2.31","-1.62","2","5","37.93","28.00"
"92","Alex Lyon","PHI","2","58.733333333333","23","18","5","0.783","5.11","-3.08","1.88","2","0","2","0.000","2.04","-1.65","7","6","1","0.857","1.02","-0.35","13","11","2","0.846","2.04","-1.62","2","3","38.35","24.00"
"95","Michael Dipietro","VAN","1","52.116666666667","20","13","7","0.650","8.06","-5.33","2.03","9","4","5","0.444","5.76","-3.42","3","3","0","1.000","0.00","0.28","8","6","2","0.750","2.30","-1.76","2","1","31.80","24.57"
