"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"39","Braden Holtby","WSH","59","309.18333333333","231","191","40","0.827","7.76","-8.37","31.54","67","51","16","0.761","3.10","-2.10","64","52","12","0.813","2.33","-2.25","97","85","12","0.876","2.33","-4.48","1","32","31.81","24.08"
"23","Jonathan Quick","L.A","46","182.31666666667","160","132","28","0.825","9.21","-6.09","19.93","38","31","7","0.816","2.30","0.88","52","40","12","0.769","3.95","-4.08","69","60","9","0.870","2.96","-3.65","3","16","32.02","30.29"
"6","Mike Smith","CGY","42","187.9","142","117","25","0.824","7.98","-5.55","21.68","59","45","14","0.763","4.47","-1.76","43","35","8","0.814","2.55","-1.45","39","36","3","0.923","0.96","0.02","1","25","27.38","21.96"
"68","Joonas Korpisalo","CBJ","27","84.916666666667","66","54","12","0.818","8.48","-2.96","9.02","23","17","6","0.739","4.24","-1.23","17","14","3","0.824","2.12","-0.41","26","23","3","0.885","2.12","-0.98","0","10","30.11","22.83"
"85","Sam Montembeault","FLA","11","38.666666666667","27","22","5","0.815","7.76","-1.30","3.83","9","8","1","0.889","1.55","0.87","12","9","3","0.750","4.66","-1.17","5","4","1","0.800","1.55","-0.61","0","4","26.41","26.80"
"65","Malcolm Subban","VGK","21","93.95","74","60","14","0.811","8.94","-3.87","9.15","22","15","7","0.682","4.47","-2.44","23","21","2","0.913","1.28","1.50","29","24","5","0.828","3.19","-2.75","0","7","30.09","24.93"
"31","Michal Neuvirth","PHI","7","26.016666666667","30","24","6","0.800","13.84","-1.89","4.8","12","10","2","0.833","4.61","0.49","5","4","1","0.800","2.31","-0.24","13","10","3","0.769","6.92","-1.99","0","9","31.60","31.33"
"92","Alex Lyon","PHI","2","5.1833333333333","5","4","1","0.800","11.58","-0.32","0.53","2","1","1","0.500","11.58","-0.59","0","0","0","-","0.00","0.00","3","3","0","1.000","0.00","0.23","0","1","41.40","11.00"
"34","Antti Niemi","MTL","17","75.366666666667","84","67","17","0.798","13.53","-5.50","10.6","26","20","6","0.769","4.78","-0.61","25","17","8","0.680","6.37","-4.19","33","30","3","0.909","2.39","-0.44","3","14","31.19","24.71"
"48","Cam Talbot","EDM","31","136.18333333333","119","95","24","0.798","10.57","-7.70","14.64","37","26","11","0.703","4.85","-3.32","30","22","8","0.733","3.52","-3.43","52","47","5","0.904","2.20","-0.97","1","22","31.57","24.17"
"73","Aaron Dell","S.J","25","113.43333333333","84","67","17","0.798","8.99","-5.50","12.97","30","19","11","0.633","5.82","-4.78","29","24","5","0.828","2.64","-0.58","24","23","1","0.958","0.53","0.86","2","16","29.74","20.65"
"10","Cam Ward","CHI","33","136.95","150","119","31","0.793","13.58","-10.46","17.15","44","30","14","0.682","6.13","-4.87","36","26","10","0.722","4.38","-4.52","70","63","7","0.900","3.07","-1.57","1","14","31.71","23.84"
"76","Cal Petersen","L.A","11","49.9","58","46","12","0.793","14.43","-4.06","6.71","19","10","9","0.526","10.82","-5.06","17","16","1","0.941","1.20","1.59","22","20","2","0.909","2.40","-0.29","0","5","29.45","18.92"
"5","Peter Budaj","L.A","3","7.3666666666667","9","7","2","0.778","16.29","-0.77","1.39","4","2","2","0.500","16.29","-1.17","2","2","0","1.000","0.00","0.30","3","3","0","1.000","0.00","0.23","0","1","28.00","14.50"
"52","Calvin Pickard","PHI","11","41.716666666667","40","31","9","0.775","12.94","-3.52","4.19","15","11","4","0.733","5.75","-0.89","12","9","3","0.750","4.31","-1.17","13","11","2","0.846","2.88","-0.99","1","3","26.68","25.11"
