"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","MD Shots Against","MD Saves","MD Goals Against","MDSV%","MDGAA","MDGSAA","LD Shots Against","LD Saves","LD Goals Against","LDSV%","LDGAA","LDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"48","Cam Talbot","EDM","31","1694.5666666667","888","793","95","0.893","3.36","-14.31","74.64","235","189","46","0.804","1.63","-3.34","223","194","29","0.870","1.03","-6.27","378","358","20","0.947","0.71","-6.44","46","120","37.16","24.37"
"51","Calvin Pickard","ARI","6","282.63333333333","157","140","17","0.892","3.61","-2.73","15.27","55","43","12","0.782","2.55","-2.02","36","32","4","0.889","0.85","-0.33","60","59","1","0.983","0.21","1.15","3","27","33.53","18.00"
"58","Keith Kinkaid","N.J","41","2302.8166666667","1188","1059","129","0.891","3.36","-21.05","99.64","277","216","61","0.780","1.59","-10.72","359","326","33","0.908","0.86","3.59","491","457","34","0.931","0.89","-16.39","51","120","37.50","25.42"
"96","Hunter Miska","ARI","1","18.266666666667","9","8","1","0.889","3.28","-0.18","0.32","1","1","0","1.000","0.00","0.18","1","1","0","1.000","0.00","0.10","5","4","1","0.800","3.28","-0.82","0","1","55.00","53.00"
"23","Jonathan Quick","L.A","46","2647.5666666667","1329","1180","149","0.888","3.38","-28.24","113.32","350","274","76","0.783","1.72","-12.47","352","305","47","0.866","1.07","-11.12","550","525","25","0.955","0.57","-5.27","50","178","37.00","24.65"
"34","Antti Niemi","MTL","17","968.8","539","478","61","0.887","3.78","-12.02","41.74","139","109","30","0.784","1.86","-4.77","126","104","22","0.825","1.36","-9.16","248","239","9","0.964","0.56","-0.11","33","48","37.96","23.38"
"79","Tristan Jarry","PIT","2","120.05","62","55","7","0.887","3.50","-1.37","2.58","7","5","2","0.714","1.00","-0.73","19","16","3","0.842","1.50","-1.06","32","30","2","0.938","1.00","-0.85","3","3","42.48","36.29"
"73","Aaron Dell","S.J","25","1323.2833333333","613","543","70","0.886","3.17","-14.30","54.16","175","133","42","0.760","1.90","-10.23","183","161","22","0.880","1.00","-3.35","223","217","6","0.973","0.27","2.00","33","68","34.90","19.74"
"27","Chad Johnson","STL","10","490.78333333333","250","221","29","0.884","3.55","-6.28","21.63","72","57","15","0.792","1.83","-1.93","78","65","13","0.833","1.59","-5.05","89","88","1","0.989","0.12","2.19","11","25","34.50","22.48"
"33","Scott Darling","CAR","8","485.56666666667","233","206","27","0.884","3.34","-5.83","21.61","74","60","14","0.811","1.73","-0.57","55","47","8","0.855","0.99","-2.39","96","91","5","0.948","0.62","-1.56","20","30","34.59","21.78"
"77","Marcus Hogberg","OTT","4","205.5","121","107","14","0.884","4.09","-3.01","9.9","34","29","5","0.853","1.46","1.17","21","16","5","0.762","1.46","-2.86","59","55","4","0.932","1.17","-1.88","8","14","38.31","26.00"
"45","Edward Pasquale","T.B","3","181.96666666667","102","90","12","0.882","3.96","-2.73","8.77","25","21","4","0.840","1.32","0.54","29","21","8","0.724","2.64","-5.04","41","41","0","1.000","0.00","1.47","5","12","38.26","20.50"
"49","Cam Talbot","PHI","4","210.7","109","96","13","0.881","3.70","-3.10","10.64","30","20","10","0.667","2.85","-4.55","26","25","1","0.962","0.28","1.65","46","44","2","0.957","0.57","-0.35","3","19","36.65","20.46"
"87","Joey Daccord","OTT","1","60","40","35","5","0.875","5.00","-1.37","2.49","8","5","3","0.625","3.00","-1.55","8","8","0","1.000","0.00","0.82","20","18","2","0.900","2.00","-1.28","4","3","43.58","27.60"
